date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),NEGERI SEMBILAN,30,4082,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),SABAH,20,3989,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PERAK,19,1973,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),KELANTAN,16,1437,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PULAU PINANG,5,1009,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PAHANG,10,745,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),SARAWAK,7,706,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),KEDAH,3,658,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),MELAKA,4,533,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),TERENGGANU,3,273,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PERLIS,0,174,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),MALAYSIA,358,64543,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),SELANGOR,124,27705,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN,57,11276,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),JOHOR,79,10228,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),NEGERI SEMBILAN,22,4104,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),SABAH,19,4008,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),PERAK,11,1984,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),KELANTAN,4,1441,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),PULAU PINANG,7,1016,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),PAHANG,6,751,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),SARAWAK,4,710,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),KEDAH,0,658,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),MELAKA,1,534,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),TERENGGANU,5,278,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),PERLIS,0,174,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-03,2026,35,ME 35/2026 (30/08 - 05/09),MALAYSIA,339,64882,2026-01-04,2026-09-03,2026-09-04T12:33:05.331877+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),SELANGOR,142,27847,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN,52,11328,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),JOHOR,89,10317,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),NEGERI SEMBILAN,27,4131,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),SABAH,15,4023,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),PERAK,9,1993,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),KELANTAN,7,1448,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),PULAU PINANG,5,1021,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),PAHANG,1,752,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),SARAWAK,3,713,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),KEDAH,2,660,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),MELAKA,8,542,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),TERENGGANU,4,282,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),PERLIS,0,174,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-04,2026,35,ME 35/2026 (30/08 - 05/09),MALAYSIA,364,65246,2026-01-04,2026-09-04,2026-09-05T12:28:48.696961+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),SELANGOR,132,27979,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN,42,11370,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),JOHOR,87,10404,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),NEGERI SEMBILAN,28,4159,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),SABAH,11,4034,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),PERAK,14,2007,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),KELANTAN,1,1449,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),PULAU PINANG,7,1028,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),PAHANG,5,757,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),SARAWAK,6,719,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),KEDAH,2,662,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),MELAKA,4,546,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),TERENGGANU,3,285,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),PERLIS,0,174,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-05,2026,35,ME 35/2026 (30/08 - 05/09),MALAYSIA,342,65588,2026-01-04,2026-09-05,2026-09-06T12:38:23.735546+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,124,28103,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,37,11407,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,60,10464,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,14,4173,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,3,4037,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,15,2022,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,6,1455,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,1,1029,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,0,757,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,1,720,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,1,663,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,0,546,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,5,290,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,0,174,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-06,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,267,65855,2026-01-04,2026-09-06,2026-09-07T12:40:58.177697+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,130,28233,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,42,11449,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,60,10524,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,24,4197,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,14,4051,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,11,2033,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,20,1475,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,9,1038,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,0,757,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,3,723,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,4,667,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,2,548,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,7,297,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,0,174,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
2026-09-07,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,326,66181,2026-01-04,2026-09-07,2026-09-08T12:35:23.107233+08:00
