date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),SELANGOR,93,30248,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN,41,12133,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),JOHOR,51,11588,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),NEGERI SEMBILAN,26,4600,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),SABAH,14,4263,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),PERAK,13,2209,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),KELANTAN,10,1669,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),PULAU PINANG,5,1114,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),PAHANG,2,808,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),SARAWAK,3,804,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),KEDAH,1,700,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),MELAKA,2,604,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),TERENGGANU,7,399,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),PERLIS,1,183,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
2026-09-23,2026,38,ME 38/2026 (20/09 - 26/09),MALAYSIA,269,71337,2026-01-04,2026-09-23,2026-09-24T12:42:24.551713+08:00,idengue_official
