date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),SELANGOR,104,29337,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN,26,11845,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),JOHOR,57,11068,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),NEGERI SEMBILAN,25,4413,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),SABAH,15,4165,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),PERAK,14,2112,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),KELANTAN,10,1572,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),PULAU PINANG,2,1084,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),PAHANG,4,776,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),SARAWAK,4,759,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),KEDAH,2,682,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),MELAKA,1,578,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),TERENGGANU,8,345,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),PERLIS,0,176,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
2026-09-14,2026,37,ME 37/2026 (13/09 - 19/09),MALAYSIA,272,68927,2026-01-04,2026-09-14,2026-09-15T12:49:17.441972+08:00,idengue_official
