date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,197,28736,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,50,11619,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,74,10760,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,25,4297,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,20,4091,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,8,2060,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,21,1518,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,8,1058,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,2,763,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,7,735,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,3,676,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,10,564,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,3,313,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,1,175,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
2026-09-09,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,429,67380,2026-01-04,2026-09-09,2026-09-10T12:42:15.897253+08:00
