date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),SELANGOR,110,30358,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN,56,12189,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),JOHOR,36,11624,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),NEGERI SEMBILAN,33,4633,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),SABAH,13,4276,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),PERAK,16,2225,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),KELANTAN,10,1679,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),PULAU PINANG,4,1118,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),PAHANG,6,814,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),SARAWAK,6,810,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),KEDAH,1,701,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),MELAKA,2,606,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),TERENGGANU,5,404,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),PERLIS,0,183,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
2026-09-24,2026,38,ME 38/2026 (20/09 - 26/09),MALAYSIA,298,71635,2026-01-04,2026-09-24,2026-09-25T12:51:43.039687+08:00,idengue_official
