date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),SELANGOR,0,30358,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN,0,12189,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),JOHOR,0,11624,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),NEGERI SEMBILAN,0,4633,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),SABAH,0,4276,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),PERAK,1,2226,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),KELANTAN,0,1679,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),PULAU PINANG,0,1118,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),PAHANG,0,814,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),SARAWAK,0,810,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),KEDAH,0,701,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),MELAKA,0,606,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),TERENGGANU,0,404,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),PERLIS,0,183,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
2026-09-25,2026,38,ME 38/2026 (20/09 - 26/09),MALAYSIA,1,71636,2026-01-04,2026-09-25,2026-09-26T12:51:18.111206+08:00,idengue_official
