date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),SELANGOR,112,27581,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN,65,11219,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),JOHOR,64,10149,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),NEGERI SEMBILAN,30,4082,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),SABAH,20,3989,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PERAK,19,1973,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),KELANTAN,16,1437,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PULAU PINANG,5,1009,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PAHANG,10,745,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),SARAWAK,7,706,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),KEDAH,3,658,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),MELAKA,4,533,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),TERENGGANU,3,273,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),PERLIS,0,174,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
2026-09-02,2026,35,ME 35/2026 (30/08 - 05/09),MALAYSIA,358,64543,2026-01-04,2026-09-02,2026-09-03T12:24:52.885132+08:00
