date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),SELANGOR,0,29688,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN,0,11949,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),JOHOR,0,11268,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),NEGERI SEMBILAN,0,4479,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),SABAH,0,4204,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),PERAK,0,2139,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),KELANTAN,0,1601,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),PULAU PINANG,0,1093,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),PAHANG,1,783,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),SARAWAK,1,774,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),KEDAH,0,690,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),MELAKA,0,588,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),TERENGGANU,0,364,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),PERLIS,0,177,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
2026-09-18,2026,37,ME 37/2026 (13/09 - 19/09),MALAYSIA,2,69812,2026-01-04,2026-09-18,2026-09-19T17:26:53.667729+08:00,idengue_official
