date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),SELANGOR,106,29117,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN,42,11751,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),JOHOR,50,10943,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),NEGERI SEMBILAN,23,4367,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),SABAH,11,4135,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),PERAK,10,2089,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),KELANTAN,6,1549,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),PULAU PINANG,7,1076,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),PAHANG,2,771,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),SARAWAK,6,750,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),KEDAH,0,679,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),MELAKA,0,573,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),TERENGGANU,3,328,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),PERLIS,0,175,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
2026-09-13,2026,37,ME 37/2026 (13/09 - 19/09),MALAYSIA,266,68318,2026-01-04,2026-09-13,2026-09-14T08:16:12.095687+08:00,idengue_official
