date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,0,28893,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,0,11660,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,0,10830,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,0,4323,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,0,4112,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,0,2074,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,0,1538,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,0,1063,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,0,766,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,0,739,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,0,679,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,0,569,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,0,322,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,0,175,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
2026-09-10,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,0,67758,2026-01-04,2026-09-10,2026-09-12T12:33:47.986620+08:00
