date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),SELANGOR,110,29688,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN,23,11949,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),JOHOR,42,11268,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),NEGERI SEMBILAN,18,4479,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),SABAH,7,4204,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),PERAK,3,2139,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),KELANTAN,6,1601,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),PULAU PINANG,2,1093,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),PAHANG,1,782,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),SARAWAK,3,773,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),KEDAH,2,690,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),MELAKA,0,588,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),TERENGGANU,7,364,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),PERLIS,0,177,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
2026-09-17,2026,37,ME 37/2026 (13/09 - 19/09),MALAYSIA,224,69810,2026-01-04,2026-09-17,2026-09-18T12:37:29.038167+08:00,idengue_official
